volcano,sector_id,latitude,longitude,SlopeMean(,AzimAxisBa,alternate_,lithology,font_weight,paguican_c,rrl_class,age,rrl,sector,volcano_2,sector_mea,sector_med,sector_std,sector_min,sector_max,sector_ran,sector_maj,sector_iqr,cov
BigainHill2,BigainHill2_1,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,1,BigainHill2,12.16614194,12.55836105,3.879491432,2.695258141,20.14808083,17.45282269,2.695258141,5.60409,21.59745616
BigainHill2,BigainHill2_2,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,2,BigainHill2,10.61686608,9.862596512,2.796327082,3.338674545,18.09335899,14.75468445,3.338674545,3.12819,21.59745616
BigainHill2,BigainHill2_3,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,3,BigainHill2,12.01828242,11.08022833,2.841232567,6.804765701,18.00423622,11.19947052,6.804765701,4.5397,21.59745616
BigainHill2,BigainHill2_4,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,4,BigainHill2,12.73416371,12.74366856,2.0828766,2.965523958,16.6898632,13.72433925,2.965523958,2.5537,21.59745616
BigainHill2,BigainHill2_5,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,5,BigainHill2,11.05053772,11.25461864,2.260565784,4.879994392,14.7528162,9.872821808,4.879994392,4.02452,21.59745616
BigainHill2,BigainHill2_6,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,6,BigainHill2,10.82268347,11.14111996,1.989821838,1.039008975,13.16152573,12.12251675,1.039008975,2.84843,21.59745616
BigainHill2,BigainHill2_7,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,7,BigainHill2,11.1692307,11.41961765,1.541109414,3.255932093,13.23221493,9.976282835,3.255932093,2.2802,21.59745616
BigainHill2,BigainHill2_8,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,8,BigainHill2,11.99764089,12.6670208,2.123800854,1.108335137,15.61403847,14.50570333,13.34134865,2.1678,21.59745616
BigainHill2,BigainHill2_9,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,9,BigainHill2,13.94591675,14.7958622,3.014828312,3.212617636,18.36447144,15.1518538,3.212617636,4.6061,21.59745616
BigainHill2,BigainHill2_10,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,10,BigainHill2,15.68284521,17.12338066,3.965711577,1.227160454,21.39717484,20.17001438,1.227160454,6.6542,21.59745616
BigainHill2,BigainHill2_11,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,11,BigainHill2,16.37326678,16.47558689,4.575221859,3.438593626,23.89281845,20.45422482,3.438593626,8.2361,21.59745616
BigainHill2,BigainHill2_12,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,12,BigainHill2,16.94461238,17.19132233,5.137529909,1.107202053,25.26818466,24.16098261,1.107202053,9.1481,21.59745616
BigainHill2,BigainHill2_13,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,13,BigainHill2,18.29207256,19.00585365,5.39662473,4.423976421,26.04680061,21.62282419,4.423976421,9.8252,21.59745616
BigainHill2,BigainHill2_14,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,14,BigainHill2,18.21657684,18.02697563,6.091142503,2.830249548,28.35735893,25.52710938,2.830249548,11.5563,21.59745616
BigainHill2,BigainHill2_15,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,15,BigainHill2,18.75127524,18.307621,5.766426128,6.171936035,29.33175278,23.15981674,6.171936035,10.1584,21.59745616
BigainHill2,BigainHill2_16,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,16,BigainHill2,19.07271147,18.82405853,5.890380048,3.321422815,29.53101158,26.20958877,3.321422815,9.8795,21.59745616
BigainHill2,BigainHill2_17,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,17,BigainHill2,19.61212555,19.41405678,6.298234424,5.554982185,29.33906555,23.78408337,5.554982185,11.6862,21.59745616
BigainHill2,BigainHill2_18,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,18,BigainHill2,19.8094899,20.66969872,6.781951489,1.952813625,28.68222618,26.72941256,1.952813625,12.8764,21.59745616
BigainHill2,BigainHill2_19,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,19,BigainHill2,19.50856133,19.95713711,5.864917193,5.342819691,28.36771202,23.02489233,5.342819691,10.8982,21.59745616
BigainHill2,BigainHill2_20,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,20,BigainHill2,18.45008627,19.81759834,6.050869334,3.106818914,26.88824844,23.78142953,3.106818914,11.3911,21.59745616
BigainHill2,BigainHill2_21,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,21,BigainHill2,18.22951518,18.34096622,5.384318887,5.478869915,26.64254189,21.16367197,5.478869915,10.0608,21.59745616
BigainHill2,BigainHill2_22,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,22,BigainHill2,15.85019422,14.30328274,4.845712758,2.947386742,24.67368317,21.72629642,2.947386742,7.6612,21.59745616
BigainHill2,BigainHill2_23,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,23,BigainHill2,16.09383019,16.36864471,3.545865997,4.895594597,23.9852314,19.0896368,4.895594597,4.8639,21.59745616
BigainHill2,BigainHill2_24,13.901266,121.06499,15.333,124.249,BigainHill2,No data,normal,Small flat cone,,,,24,BigainHill2,14.51918301,15.10431957,3.915480499,1.855474949,20.78225899,18.92678404,1.855474949,7.1158,21.59745616
Buboy,Buboy_1,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,1,Buboy,23.29283321,22.54178047,8.664195213,0.459939212,40.11628342,39.65634421,37.0079155,13.9541,31.00490946
Buboy,Buboy_2,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,2,Buboy,19.59442666,18.55689812,7.657221649,1.791146517,34.0723114,32.28116488,1.791146517,10.8028,31.00490946
Buboy,Buboy_3,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,3,Buboy,20.48725947,19.67451668,9.039574088,0.641248286,34.1471138,33.50586551,0.641248286,14.6546,31.00490946
Buboy,Buboy_4,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,4,Buboy,21.82696972,22.10147667,8.771740303,1.502760291,34.05781555,32.55505526,1.502760291,15.2352,31.00490946
Buboy,Buboy_5,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,5,Buboy,17.18765892,13.22512054,9.470022337,1.655359149,33.08789825,31.43253911,1.655359149,18.44058,31.00490946
Buboy,Buboy_6,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,6,Buboy,17.11728961,14.16207409,6.757898083,1.161379814,29.87367821,28.71229839,1.161379814,11.4469,31.00490946
Buboy,Buboy_7,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,7,Buboy,15.31564065,13.94653416,6.548924168,1.275193095,28.96176338,27.68657029,1.275193095,9.4847,31.00490946
Buboy,Buboy_8,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,8,Buboy,18.57518364,18.45215416,6.5469202,2.913361549,30.05448532,27.14112377,2.913361549,11.1883,31.00490946
Buboy,Buboy_9,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,9,Buboy,20.95564055,19.05954647,6.54929919,2.159151077,33.00045013,30.84129906,2.159151077,11.056,31.00490946
Buboy,Buboy_10,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,10,Buboy,22.24293896,19.99709511,7.199654726,3.054557562,34.93822861,31.88367105,3.054557562,10.4845,31.00490946
Buboy,Buboy_11,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,11,Buboy,21.70106985,20.51413155,8.070880421,3.397241116,35.52391052,32.12666941,3.397241116,12.5191,31.00490946
Buboy,Buboy_12,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,12,Buboy,19.83663756,22.02768993,9.679634486,1.65258348,38.94875336,37.29616988,1.65258348,15.3287,31.00490946
Buboy,Buboy_13,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,13,Buboy,9.009630391,9.13227272,3.049565262,0.308024585,15.5348835,15.22685891,0.308024585,4.4195,31.00490946
Buboy,Buboy_14,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,14,Buboy,9.636488104,9.118359566,3.406306729,1.930102348,15.55354691,13.62344456,1.930102348,6.28442,31.00490946
Buboy,Buboy_15,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,15,Buboy,7.418247794,6.633834124,3.319419194,0.074332163,14.19089603,14.11656387,0.074332163,4.96837,31.00490946
Buboy,Buboy_16,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,16,Buboy,9.048910307,8.520316124,3.252491836,2.379728794,17.62852097,15.24879217,2.379728794,4.46285,31.00490946
Buboy,Buboy_17,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,17,Buboy,10.38734344,8.155684471,7.380500566,0.072152488,28.16085625,28.08870376,0.072152488,9.38416,31.00490946
Buboy,Buboy_18,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,18,Buboy,12.37739921,11.07580471,7.477003021,0.344309151,29.56506348,29.22075433,0.344309151,13.44127,31.00490946
Buboy,Buboy_19,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,19,Buboy,18.58411069,19.15430641,6.738119103,0.552322745,37.18001175,36.627689,0.552322745,10.7032,31.00490946
Buboy,Buboy_20,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,20,Buboy,18.17198045,18.07112122,7.328456695,1.397142172,36.07715607,34.6800139,1.397142172,11.6755,31.00490946
Buboy,Buboy_21,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,21,Buboy,20.05931603,17.88150978,7.609923968,1.409063816,37.72121048,36.31214666,1.409063816,10.716,31.00490946
Buboy,Buboy_22,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,22,Buboy,17.74297419,13.73651171,9.347789992,1.917451501,36.05981064,34.14235914,1.917451501,15.0282,31.00490946
Buboy,Buboy_23,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,23,Buboy,17.72237289,18.76330376,8.245594599,0.978143215,33.94820404,32.97006083,0.978143215,14.4401,31.00490946
Buboy,Buboy_24,14.096301,121.24313,15.6507,58.3328,Buboy,No data,normal,Small flat cone,,,,24,Buboy,18.50125141,16.99355125,10.28176954,0.181153908,36.6558609,36.47470699,0.181153908,18.16345,31.00490946
BuhoMalasakot1,BuhoMalasakot1_1,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,1,BuhoMalasakot1,23.22868798,23.4300766,8.542345098,1.838251472,36.76294708,34.92469561,1.838251472,16.062,10.74564454
BuhoMalasakot1,BuhoMalasakot1_2,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,2,BuhoMalasakot1,23.8760767,23.4492569,8.5674566,3.571191788,35.20288467,31.63169289,16.326231,16.6142,10.74564454
BuhoMalasakot1,BuhoMalasakot1_3,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,3,BuhoMalasakot1,26.33203969,28.54468536,9.961726094,1.863116264,41.11249161,39.24937534,1.863116264,19.0803,10.74564454
BuhoMalasakot1,BuhoMalasakot1_4,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,4,BuhoMalasakot1,24.97249554,27.09939384,9.832674924,4.13559866,44.49283218,40.35723352,4.13559866,16.2336,10.74564454
BuhoMalasakot1,BuhoMalasakot1_5,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,5,BuhoMalasakot1,28.951053,24.73812866,13.74406431,0.759714425,57.37423325,56.61451882,0.759714425,23.6474,10.74564454
BuhoMalasakot1,BuhoMalasakot1_6,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,6,BuhoMalasakot1,27.04888777,27.90365028,9.442629042,3.812502623,48.35450363,44.54200101,3.812502623,14.3343,10.74564454
BuhoMalasakot1,BuhoMalasakot1_7,14.024064,121.45161,25.794,20.5907,BuhoMasalakot1,No data,normal,Small steep cone,,,,7,BuhoMalasakot1,28.09829754,27.5001049,11.02758972,1.604047179,48.74760056,47.14355338,37.31654358,16.9457,10.74564454
